Guid,SBQQ__Rule__c,SBQQ__Field__c,SBQQ__Formula__c,SBQQ__Order__c,SBQQ__ParentRuleIsActive__c,SBQQ__RuleLookupObject__c,SBQQ__RuleTargetsCalculator__c,SBQQ__SourceLookupField__c,SBQQ__SourceVariable__c,SBQQ__TargetObject__c,SBQQ__ValueField__c,SBQQ__Value__c
91e68129-8e96-44a7-8602-1d76c80787b3,2f541793-cd7b-4a10-b8f4-e2f0fcc84853,Unit Price,#N/A,#N/A,false,#N/A,false,#N/A,#N/A,Product Option,#N/A,123
d15adc36-e63c-4406-beea-da64c4597513,fdae54dd-5f48-4e92-86a2-e5931d5200b2,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
9bd5f1c2-7395-4802-8004-f28850bcd0a2,49ff6f80-d4de-464e-bee2-41a54b3bb4fb,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
23b38676-d26f-4d56-b426-18fd5e546f3c,16819250-3691-4a6c-a7dd-b21f5bad1465,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
120e9b16-62f9-4b75-9b75-e5a22f565908,7d57885b-8343-45c7-9a51-57b73df668d9,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
4e981f6f-8e71-4ffa-8905-59d727aa309c,8ca45a15-b9bc-4d39-b507-89e9f56394ff,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
a83a0c45-9094-4898-95da-faabd738f3c3,5b64ced4-ca0f-418d-ae2f-01de79d8763c,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
3ababc3a-5455-4b50-8e23-397d04dd426d,35e9c08c-068e-4609-b710-578384a8d24c,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
3cf67919-0aba-4875-a595-d85e897fd25f,e2386a0e-0582-4297-b2b8-051f6aafede2,Discount (Amt),#N/A,#N/A,false,SBQQ__LookupData__c,true,#N/A,#N/A,Quote Line,#N/A,10
02f260ae-5936-4404-9c10-1c700c238927,00893831-60dc-4ea2-97c8-045fce769e2d,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
15c43c72-40f9-4a02-8b69-62f5eeec464c,5f3632b9-b3eb-4972-84a9-6fb161808f9b,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
4beb65eb-4b16-4c1c-864c-e7de4a170d0b,335e779e-c139-4095-800e-55689dd2fcd1,SBQQ__Quantity__c,Protected_Devices__c,1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
1f5b3adf-3953-4bfa-bddf-a53f69ba66d0,894a1af7-16c7-4587-861c-abdfc1f04acf,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
4b04e106-9c6a-4d6f-be42-9a0349fcae55,a22808b5-9a41-41a2-89e1-11f8aa2a41fe,SBQQ__RenewalUpliftRate__c,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote,#N/A,4
41a105ca-bf82-4206-bcc0-c357a97b9f5d,56ffcae1-3637-491c-b7f4-da9456b9c5bc,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
b0f66734-88d9-41ac-b6d8-d229d4f20d14,96fe04a1-a9d8-44d2-aed3-d4270fc67be7,Discount (%),"/* Tiered partner discounts */
IF(
    SBQQ__ProductFamily__c = ""Software"" &&
    SBQQ__Quantity__c >= 10,
    SBQQ__ListPrice__c * 0.90,
    SBQQ__ListPrice__c
)

/* Enterprise customer adjustment */
IF(
    SBQQ__Account__r.Segment__c = ""Enterprise"",
    Price * 0.97,
    Price
)

/* Special promotion */
IF(
    SBQQ__PromoCode__c = ""Q4BUNDLE"",
    Price * 0.85,
    Price
)",#N/A,false,#N/A,false,#N/A,#N/A,Quote Line,#N/A,#N/A
6ba12307-a2d9-4396-90b1-eaa0ddab0782,27c8740f-f6b8-45bf-9340-44989be5c83f,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
e3b0b2f9-37ba-446c-8756-31b9ab2f5bc8,6fe97c32-7928-4c45-ae8a-158c621d9b14,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
43efef59-20e7-46f1-a0a6-9e236404ceb1,27c8740f-f6b8-45bf-9340-44989be5c83f,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
2b3b8123-f2a0-4df9-bde1-94f801cb7b23,8c42c170-75a1-49e1-9ef4-bdee1b8b0108,SBQQ__RenewalUpliftRate__c,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote,#N/A,3
a9f6851a-e901-4086-84c6-92b796f2edbb,ec524a03-1e8a-4ee6-8247-591b7d5d6da0,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",1.0,false,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
8fe57ca1-836e-4bf3-85ce-93a8c0506388,5b64ced4-ca0f-418d-ae2f-01de79d8763c,Discretionary_Discount_Percent__c,"100.0 * if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
b804840e-c16a-46dd-9f80-88f653e4b0dd,28ff731b-8104-45ab-8366-b01288bff9d9,SBQQ__RenewalUpliftRate__c,#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote,#N/A,5
74a79699-64d0-4376-8186-fe08f78b1b0e,cb44a597-5fce-4973-aa86-75a51c136a88,Billing_Approval_Level__c,"IF((TEXT(SBQQ__BillingFrequency__c)  <>  TEXT(SBQQ__Product__r.SBQQ__BillingFrequency__c)) ||
(TEXT(SBQQ__BillingType__c) <> TEXT(SBQQ__Product__r.SBQQ__BillingType__c)), 1, 0)",1.0,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
e1129caa-8939-4850-85c2-d4dacfff642c,05c6049b-7583-4711-9ba8-ced65c8580f7,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,30
bcae5f3f-6764-4166-8373-4c8bf8f04e74,f355b1a3-4073-4a01-bcc9-90496e9186e0,Discount (%),#N/A,#N/A,false,SBQQ__LookupData__c,true,#N/A,#N/A,Quote Line,#N/A,10
90e37407-d969-45cd-a2cc-1b663ebeb86a,46ddaeb4-3177-4a4f-933b-cba548389474,SBQQ__TaxCode__c,"IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United States"", ""A234"", 
IF( SBQQ__Quote__r.Calculate_Tax__c = True && SBQQ__Quote__r.SBQQ__BillingCountry__c = ""United Kingdom"", ""B567"", 
""A000""))",#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,#N/A
d95c8b75-2426-4851-954d-85853f82a888,a1afc168-d840-4660-aea4-0cf8fb400add,Discount (%),#N/A,#N/A,false,#N/A,true,#N/A,#N/A,Quote Line,#N/A,45
45a030d3-9b68-4c8f-a2a0-95cd5f592cb8,e4adeeff-e89f-4eeb-9a66-d968931382f8,SBQQ__Quantity__c,SBQQ__ProductOption__r.Protected_Devices__c,1.0,false,#N/A,false,#N/A,#N/A,Product Option,#N/A,#N/A
2537205e-2f80-4573-9ab0-81d7c07f0f73,808b5fa3-de52-4491-863f-0275290e7330,Discretionary_Discount_Decimal__c,"if( SBQQ__RegularPrice__c =0, 0, ( SBQQ__NetPrice__c -SBQQ__RegularPrice__c)/(-1.0 * SBQQ__RegularPrice__c))",2.0,true,Approval_Threshold__c,true,#N/A,#N/A,Quote Line,#N/A,#N/A
